Project Name,Release,Dues,Converted instances,Modify-original,Wrap-around
express-user-couchdb,0.3.5,20,22,2,20
express-endpoint,1.2.11,2,4,1,3
gifsockets-server,0.38.1,1,3,2,1
heroku-bouncer,4.0.1,3,6,4,2
moonridge,0.6.9,6,14,8,6
redis-key-overview,0.0.3,9,12,9,3
slack-integrator,0.0.6,3,3,1,2
timbits,0.7.3,8,15,4,11
tingo-rest,1.0.1,4,4,4,0
brokowski,0.1.8,,11,2,9
express-device,0.3.11,,15,3,12
flair-doc,0.1.0,,5,2,3
http-test-servers,0.0.12,,4,3,1
jellyjs-plugin-httpserver,0.0.8,,2,0,2
moby,1.1.1,,8,7,1
monami,0.0.21,,13,4,9
oauth-express,0.0.1,,8,1,7
public-server,2.0.1,,11,5,6
scrapit,0.0.4,,17,7,10
sonea,0.0.3,,5,0,5
squirrel-server,0.0.1,,6,4,2
Total,,56,188,73,115
